Vernier Format 2
biela-manivela-20Hz-22-05-2024.cmbl 22/04/2025 11:31:55 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.05	-0.209439510239	-3.76215416542	0.662578697572	0.3105865	0.241052777778	-0.104847901235
0.1	-0.401425727959	-3.69912838687	-0.21008592848	0.322763	0.236860555556	-0.137316450617
0.15	-0.575958653158	-3.72336907093	-1.47544963623	0.3345965	0.2296385	-0.188427685185
0.2	-0.767944870878	-3.84942062802	-2.72842366098	0.3459155	0.2186625	-0.254328148148
0.25	-0.959931088597	-4.01425727961	-3.86504240206	0.3565485	0.204466111111	-0.338426666667
0.3	-1.16937059884	-4.21787902566	-5.30601639833	0.3664955	0.186363333333	-0.465283734568
0.35	-1.37881010908	-4.49907096064	-7.22911066684	0.3754135	0.161305277778	-0.668056018519
0.4	-1.60570291183	-5.01297346262	-7.44997023328	0.383131	0.123384722222	-0.943355864198
0.45	-1.88495559215	-5.4202169548	-4.17478447667	0.388619	0.0664086111111	-1.19578904321
0.5	-2.16420827247	-5.48809087017	0.355530032549	0.390334	-0.00285833333333	-1.30445864198
0.55	-2.44346095279	-5.3232542186	3.60378169616	0.388276	-0.0718394444444	-1.24538641975
0.6	-2.70526034059	-4.98388464182	3.82464126208	0.3826165	-0.130435277778	-1.10728657407
0.65	-2.93215314335	-4.81904799024	1.42750694994	0.374899	-0.181027777778	-0.981996296296
0.7	-3.17649923863	-4.86752935836	-0.904985538071	0.3644375	-0.227809166667	-0.867239506173
0.75	-3.42084533391	-4.93540327371	-2.92504254268	0.351918	-0.269159722222	-0.719929475309
0.8	-3.66519142919	-5.12932874616	-5.34911094815	0.337169	-0.302125833333	-0.499784876543
0.85	-3.92699081699	-5.46869832293	-7.58464069978	0.321391	-0.324611388889	-0.126507716049
0.9	-4.20624349731	-5.9438157304	-8.32263485861	0.3040695	-0.3267075	0.510318364198
0.95	-4.52040276267	-6.41893313784	-6.11942601908	0.2869195	-0.284880555556	1.35649089506
1	-4.85201532054	-6.73891016737	-0.0969627365031	0.273028	-0.187125555556	2.0836191358
